rank,listing_type,id,name,author,author_alias,attribution_link,total_downloads,adjusted_total_downloads,latest_snapshot
67,map,albany,Albany,soccerjonj,soccerjonj,https://github.com/soccerjonj,53,11,snapshot_2026_03_31.json
68,map,mfn-lasvegas,Las Vegas,crumpetime,crumpetime,https://github.com/crumpetime,52,46,snapshot_2026_03_31.json
69,map,yukina-hakodate,函館 (Hakodate),ahkimn,Yukina-,https://github.com/ahkimn,52,5,snapshot_2026_03_31.json
70,map,nashville,Nashville,soccerjonj,soccerjonj,https://github.com/soccerjonj,50,0,snapshot_2026_03_31.json
71,map,rochester,Rochester,rslurry,rslurry,https://github.com/rslurry,50,13,snapshot_2026_03_31.json
72,map,jacksonville,Jacksonville,rslurry,rslurry,https://github.com/rslurry,48,11,snapshot_2026_03_31.json
73,map,florence,Florence,Maximilian284,Maximilian284,https://github.com/Maximilian284,47,13,snapshot_2026_03_31.json
74,map,greater-baltimore,Greater Baltimore,rslurry,rslurry,https://github.com/rslurry,45,10,snapshot_2026_03_31.json
75,map,genoa,Genoa,Maximilian284,Maximilian284,https://github.com/Maximilian284,44,17,snapshot_2026_03_31.json
76,map,bologna,Bologna,Maximilian284,Maximilian284,https://github.com/Maximilian284,41,12,snapshot_2026_03_31.json
77,map,yukina-nagasaki,長崎 (Nagasaki),ahkimn,Yukina-,https://github.com/ahkimn,41,1,snapshot_2026_03_31.json
78,map,turin,Turin,Maximilian284,Maximilian284,https://github.com/Maximilian284,40,8,snapshot_2026_03_31.json
79,map,catania,Catania,Maximilian284,Maximilian284,https://github.com/Maximilian284,39,14,snapshot_2026_03_31.json
80,map,trondheim-val,Trondheim,Valdotorium,Valdotorium,https://github.com/Valdotorium,39,11,snapshot_2026_03_31.json
81,map,orlando,Orlando,rslurry,rslurry,https://github.com/rslurry,36,18,snapshot_2026_03_31.json
82,map,san-juan,San Juan,rslurry,rslurry,https://github.com/rslurry,36,15,snapshot_2026_03_31.json
83,map,yukina-toyama,富山 (Toyama),ahkimn,Yukina-,https://github.com/ahkimn,34,0,snapshot_2026_03_31.json
84,map,memphis,Memphis,rslurry,rslurry,https://github.com/rslurry,32,0,snapshot_2026_03_31.json
85,map,santa-barbara,Santa Barbara,rslurry,rslurry,https://github.com/rslurry,32,0,snapshot_2026_03_31.json
86,map,spokane,Spokane,ryandicicco,ryandicicco,https://github.com/ryandicicco,30,25,snapshot_2026_03_31.json
87,map,barcelona,Barcelona,Maximilian284,Maximilian284,https://github.com/Maximilian284,28,28,snapshot_2026_03_31.json
88,map,yukina-nakaumi,中海 (Nakaumi),ahkimn,Yukina-,https://github.com/ahkimn,28,0,snapshot_2026_03_31.json
89,map,garda-lake,Garda Lake,Maximilian284,Maximilian284,https://github.com/Maximilian284,26,0,snapshot_2026_03_31.json
90,map,palermo,Palermo,Maximilian284,Maximilian284,https://github.com/Maximilian284,26,0,snapshot_2026_03_31.json
91,map,pianura-veneta,Pianura Veneta,Maximilian284,Maximilian284,https://github.com/Maximilian284,26,20,snapshot_2026_03_31.json
92,map,knoxville,Knoxville,rslurry,rslurry,https://github.com/rslurry,24,0,snapshot_2026_03_31.json
93,map,madrid,Madrid,Maximilian284,Maximilian284,https://github.com/Maximilian284,23,23,snapshot_2026_03_31.json
94,map,piedmont-triad,Piedmont Triad,PSWBSF,PSWBSF,https://github.com/PSWBSF,21,18,snapshot_2026_03_31.json
95,map,yukina-takamatsu,高松 (Takamatsu),ahkimn,Yukina-,https://github.com/ahkimn,20,0,snapshot_2026_03_31.json
96,map,pianura-emiliana,Pianura Emiliana,Maximilian284,Maximilian284,https://github.com/Maximilian284,17,3,snapshot_2026_03_31.json
97,map,san-antonio,San Antonio,rslurry,rslurry,https://github.com/rslurry,16,0,snapshot_2026_03_31.json
98,map,valencia,Valencia,Maximilian284,Maximilian284,https://github.com/Maximilian284,16,16,snapshot_2026_03_31.json
99,map,yukina-okayama,岡山 (Okayama),ahkimn,Yukina-,https://github.com/ahkimn,16,0,snapshot_2026_03_31.json
100,map,riviera-romagnola,Riviera Romagnola,Maximilian284,Maximilian284,https://github.com/Maximilian284,14,0,snapshot_2026_03_31.json
101,map,bilbao,Bilbao,Maximilian284,Maximilian284,https://github.com/Maximilian284,11,11,snapshot_2026_03_31.json
102,map,dayton-oh,Dayton,PSWBSF,PSWBSF,https://github.com/PSWBSF,7,7,snapshot_2026_03_31.json
103,map,wilmington-nc,"Wilmington, NC",PSWBSF,PSWBSF,https://github.com/PSWBSF,7,7,snapshot_2026_03_31.json
104,map,bucharest-medium,Bucharest,metatablestudios,metatablestudios,https://github.com/metatablestudios,6,6,snapshot_2026_03_31.json
105,map,oklahoma-city,Oklahoma City,ryandicicco,ryandicicco,https://github.com/ryandicicco,2,2,snapshot_2026_03_31.json
106,mod,simple-trains,Simple Trains,Bobby-047,Bobby-047,https://github.com/Bobby-047,0,0,snapshot_2026_03_31.json
