listing_type,id,name,author,author_alias,attribution_link,project_key,project_name,total_downloads,2026_03_11,2026_03_12,2026_03_13,2026_03_14,2026_03_15,2026_03_16,2026_03_17,2026_03_18,2026_03_19,2026_03_20,2026_03_21,2026_03_22,2026_03_23,2026_03_24,2026_03_25,2026_03_26,2026_03_27,2026_03_28,2026_03_29,2026_03_30,2026_03_31
map,madrid,Madrid,Maximilian284,Maximilian284,https://github.com/Maximilian284,maximilian284/subwaybuilder-es-maps,subwaybuilder-es-maps,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
map,piedmont-triad,Piedmont Triad,PSWBSF,PSWBSF,https://github.com/PSWBSF,pswbsf/piedmont-triad,piedmont-triad,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,15,0
map,yukina-takamatsu,高松 (Takamatsu),ahkimn,Yukina-,https://github.com/ahkimn,ahkimn/subwaybuilder-jp-maps,subwaybuilder-jp-maps,20,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
map,pianura-emiliana,Pianura Emiliana,Maximilian284,Maximilian284,https://github.com/Maximilian284,maximilian284/subwaybuilder-it-maps,subwaybuilder-it-maps,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,14,0
map,san-antonio,San Antonio,rslurry,rslurry,https://github.com/rslurry,rslurry/subwaybuilder-maps,subwaybuilder-maps,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
map,valencia,Valencia,Maximilian284,Maximilian284,https://github.com/Maximilian284,maximilian284/subwaybuilder-es-maps,subwaybuilder-es-maps,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
map,yukina-okayama,岡山 (Okayama),ahkimn,Yukina-,https://github.com/ahkimn,ahkimn/subwaybuilder-jp-maps,subwaybuilder-jp-maps,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15,0
map,riviera-romagnola,Riviera Romagnola,Maximilian284,Maximilian284,https://github.com/Maximilian284,maximilian284/subwaybuilder-it-maps,subwaybuilder-it-maps,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0
map,bilbao,Bilbao,Maximilian284,Maximilian284,https://github.com/Maximilian284,maximilian284/subwaybuilder-es-maps,subwaybuilder-es-maps,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
map,dayton-oh,Dayton,PSWBSF,PSWBSF,https://github.com/PSWBSF,pswbsf/dayton-oh,dayton-oh,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
map,wilmington-nc,"Wilmington, NC",PSWBSF,PSWBSF,https://github.com/PSWBSF,pswbsf/wilmington-nc,wilmington-nc,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
map,bucharest-medium,Bucharest,metatablestudios,metatablestudios,https://github.com/metatablestudios,metatablestudios/subwaybuilder-romania,subwaybuilder-romania,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
map,oklahoma-city,Oklahoma City,ryandicicco,ryandicicco,https://github.com/ryandicicco,ryandicicco/subway-builder-maps,Subway-Builder-Maps,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
mod,simple-trains,Simple Trains,Bobby-047,Bobby-047,https://github.com/Bobby-047,bobby-047/some-new-trains,Some-new-Trains,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
